cod_cliente,cnpj,holding,nome_cliente,id_gerente_area,gerente_area,cidterritory,vendedor,endereco,uf,cidade,lat,long,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,sellout_ton_ytd,trend_l6m
100068582,3221466000458,REDE ESTRELA DE,SUP SEMAR DE SAO SEBASTIAO LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"AV GUARDA MOR LOBO VIANA,934, SAO SEBASTIAO, SP, 11600-000, Brasil",SP,SAO SEBASTIAO,-23.796412,-45.4001928,,0.5,,,,,0.5,6.41684968,-0.0022524791428571783
100071945,50472851000458,REDE SHIBATA,SUP SHIBATA JACAREI LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R BARAO DE JACAREI,584, JACAREI, SP, 12308-001, Brasil",SP,JACAREI,-23.3029282,-45.9609702,,1.0,,,,,1.0,13.08151101,0.029690876000000067
100072691,15610121000203,REDE NAGUMO,SP BRASIL ATAC VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"EST ACACIO ANTONIO BATISTA,763, GUARULHOS, SP, 07175-080, Brasil",SP,GUARULHOS,-23.400244,-46.3998759,0.5,,0.5,1.0,1.0,1.0,4.0,,
100075203,3476811063072,DIA BRASIL,DIA BRASIL SOCIEDADE LIMITADA,02020300,GUSTAVO OLIVEIRA,02020303,SERGIO PASTORI,"AV PAPA JOAO XXIII,3147, MAUA, SP, 09370-800, Brasil",SP,MAUA,-23.6874592,-46.4690364,,,,,,,,,
100078687,4063469000473,REDE ESTRELA DE,COM KEYPAR REPRESENT E SUPS LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R JOAO DUARTE PEREIRA,330, UBATUBA, SP, 11680-000, Brasil",SP,UBATUBA,-23.4318666,-45.0846531,,1.0,,,,,1.0,11.71123435,-0.04227611828571425
100079144,7705530000346,REDE NAGUMO,MIXTER AT E VJO DE GEN ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"CAM DO CAMPO DO RINCAO,254,GP 01, GUARULHOS, SP, 07240-330, Brasil",SP,GUARULHOS,-23.4530597,-46.4408824,,1.0,,,,,1.0,,
100079818,7820929000378,REDE NAGUMO,AZUL BRASIL COML DE PROD ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R TIBURCIO DE SOUSA,900, SAO PAULO, SP, 08140-000, Brasil",SP,SAO PAULO,-23.505984,-46.3965015,,0.5,,,,,0.5,,
100080809,9358143000225,REDE SHIBATA,SHIBATA COM ATAC MERC GERAL LTDA,02020300,GUSTAVO OLIVEIRA,02020306,CRISTINA VAZ,"R ALCIDES RAMOS NOGUEIRA,650, PINDAMONHANGABA, SP, 12421-705, Brasil",SP,PINDAMONHANGABA,-22.9465315,-45.4803094,,0.0,,,,,0.0,9.38277581,0.03651476942857134
100081460,7926885000365,REDE NAGUMO,SOLBRASIL COML DE PROD ALIM LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"AV OLIVEIRA FREIRE,1189, SAO PAULO, SP, 08080-570, Brasil",SP,SAO PAULO,-23.4842587,-46.4237657,,0.5,,,,,0.5,,
100082358,10304207000537,REDE NAGUMO,ON BRASIL COM DE ALIMENTOS LTDA,02020300,GUSTAVO OLIVEIRA,02020308,FELIPE ARAUJO,"R MARIA DO ROSARIO,76, POA, SP, 08553-120, Brasil",SP,POA,-23.5174101,-46.3661288,,1.0,,,,,1.0,,
