cnpj,cod_cliente,cidcustomer,nome_cliente,vendedor,cidterritory,endereco,lat,long,uf,cidade,gerente_area,estrelas_batalhas,estrelas_espaco_em_loja,estrelas_inovacao,estrelas_ponto_extra,estrelas_preco,estrelas_sortimento_prioritario,estrelas_total,estrelas_total_eff,has_stars,star_need_abs,sellout_ton_ytd,s_sell12,trend_l6m,trend_need,s_trend,score,tem_estrelas,prioritario
3476811081054,100137254,100137254,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R CARDOSO DE ALMEIDA,946, SAO PAULO, SP, 05013-001, Brasil",-23.538815,-46.6692609,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,1.6030047,0.2887534134246598,0.0043396117142857,-0.0043396117142857,0.7702601389741616,0.2619774825644521,0,0
3476811081216,100134179,100134179,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV MEM DE SA,448, BELO HORIZONTE, MG, 30260-270, Brasil",-19.92118,-43.9113,MG,BELO HORIZONTE,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811081640,100137075,100137075,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV 1,487, RIO CLARO, SP, 13500-401, Brasil",-22.4108397,-47.56277300000001,SP,RIO CLARO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811081992,100136996,100136996,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV S JOAQUIM M MARTINS SIQUEIRA,58, JACAREI, SP, 12327-695, Brasil",-23.303637,-45.96711639999999,SP,JACAREI,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811082298,100137058,100137058,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV MARACANA,219, OLIVEIRA, MG, 35540-000, Brasil",-20.6970704,-44.8237533,MG,OLIVEIRA,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811082379,100133863,100133863,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV PAPA JOAO XXIII,191, CAMPINAS, SP, 13063-600, Brasil",-22.888818,-47.1074768,SP,CAMPINAS,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811082964,100134013,100134013,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"PRACA DICRAN ECHREFIAN,69, OSASCO, SP, 06210-010, Brasil",-23.5277273,-46.7672156,SP,OSASCO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,1.47256616,0.27302911615933306,0.0055866485714285,-0.0055866485714285,0.767518219696657,0.2569750931811081,0,0
3476811083006,100137127,100137127,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R BENJAMIN CONSTANT,85, SAO PAULO, SP, 01005-000, Brasil",-23.5499822,-46.6349178,SP,SAO PAULO,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811083189,100133974,100133974,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"R DONA LUIZA,540, BELO HORIZONTE, MG, 30620-090, Brasil",-19.9843446,-44.0035135,MG,BELO HORIZONTE,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
3476811083260,100137054,100137054,DIA BRASIL SOCIEDADE LIMITADA,SERGIO PASTORI,2020303,"AV JOSE MARRA DA SILVA,471, CARMO DO CAJURU, MG, 35557-000, Brasil",-20.1892125,-44.77062859999999,MG,CARMO DO CAJURU,GUSTAVO OLIVEIRA,,,,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0,0
